seed,condition,drift_scale,baseline,auroc,auprc,ece,aurc,n_test_samples
1,original_benchmark,0.35,A_no_signal,0.5,0.3423333333333333,0.08833333333333332,0.2972788135406679,3000
1,original_benchmark,0.35,B_calibrated_confidence,0.6302219693219714,0.4310114584019864,0.05168003857050215,0.2621742973259186,3000
1,original_benchmark,0.35,C_original_failure_memory,0.516482247438768,0.3578754571267687,,0.3317860778862897,3000
1,original_benchmark,0.35,D_supervised_failure_risk,0.6324835128173872,0.44443875628284774,0.08960873172587482,0.25459800133541377,3000
1,unseen_weaker_drift,0.175,A_no_signal,0.5,0.287,0.032999999999999974,0.25530123451253484,3000
1,unseen_weaker_drift,0.175,B_calibrated_confidence,0.665535905008419,0.3953822559988388,0.02476188088696944,0.1931408617242901,3000
1,unseen_weaker_drift,0.175,C_original_failure_memory,0.5105194770641355,0.2983276068786693,,0.2808479485016881,3000
1,unseen_weaker_drift,0.175,D_supervised_failure_risk,0.6721165849206078,0.4121139643807431,0.04073888468534498,0.18479950078316543,3000
1,unseen_stronger_drift,0.7,A_no_signal,0.5,0.39966666666666667,0.14566666666666667,0.3514359372288735,3000
1,unseen_stronger_drift,0.7,B_calibrated_confidence,0.5789654899349309,0.4528488400669252,0.10901337190383548,0.34554393764944524,3000
1,unseen_stronger_drift,0.7,C_original_failure_memory,0.5174004433641026,0.4090366115339038,,0.3848954365856354,3000
1,unseen_stronger_drift,0.7,D_supervised_failure_risk,0.5788670829244618,0.4654012353415766,0.14694206505920812,0.3437613434836426,3000
2,original_benchmark,0.35,A_no_signal,0.5,0.24933333333333332,0.07466666666666663,0.2724397970541037,3000
2,original_benchmark,0.35,B_calibrated_confidence,0.6916757297138134,0.3757764195238528,0.05961690010713228,0.15330245875434892,3000
2,original_benchmark,0.35,C_original_failure_memory,0.5373257045430799,0.28298613735009476,,0.2379231319136811,3000
2,original_benchmark,0.35,D_supervised_failure_risk,0.6875350253132094,0.3823345997214655,0.07795298892806297,0.15893040488530955,3000
2,unseen_weaker_drift,0.175,A_no_signal,0.5,0.19633333333333333,0.02166666666666664,0.20807416845823232,3000
2,unseen_weaker_drift,0.175,B_calibrated_confidence,0.743688555355019,0.351068258111802,0.019262886187054625,0.0961711180237333,3000
2,unseen_weaker_drift,0.175,C_original_failure_memory,0.5502714989799863,0.22740539774182394,,0.17994362609520664,3000
2,unseen_weaker_drift,0.175,D_supervised_failure_risk,0.7328655659297827,0.35326136313889733,0.03173464809267081,0.10320368152448159,3000
2,unseen_stronger_drift,0.7,A_no_signal,0.5,0.3353333333333333,0.16066666666666662,0.38050182444487485,3000
2,unseen_stronger_drift,0.7,B_calibrated_confidence,0.6199712457451879,0.417738769850075,0.1456169001071323,0.2623806143494102,3000
2,unseen_stronger_drift,0.7,C_original_failure_memory,0.5335315090400427,0.3687438906608875,,0.3214887692573451,3000
2,unseen_stronger_drift,0.7,D_supervised_failure_risk,0.6197264756496128,0.42267726198203637,0.16395298892806295,0.2649783576386558,3000
3,original_benchmark,0.35,A_no_signal,0.5,0.201,0.03499999999999992,0.20910059405558024,3000
3,original_benchmark,0.35,B_calibrated_confidence,0.7208326328308396,0.33772057186105453,0.06224275210562001,0.10452609613453676,3000
3,original_benchmark,0.35,C_original_failure_memory,0.47287827307628183,0.19664600069237526,,0.21781419339717367,3000
3,original_benchmark,0.35,D_supervised_failure_risk,0.7106430024816814,0.36723579425380626,0.04725622041525542,0.11144636303382434,3000
3,unseen_weaker_drift,0.175,A_no_signal,0.5,0.15566666666666668,0.08033333333333326,0.1534636315319874,3000
3,unseen_weaker_drift,0.175,B_calibrated_confidence,0.7595275553274928,0.30232369828178096,0.03081164982228784,0.06616021740858795,3000
3,unseen_weaker_drift,0.175,C_original_failure_memory,0.49505330494010114,0.16275782674117292,,0.16144197197138374,3000
3,unseen_weaker_drift,0.175,D_supervised_failure_risk,0.7526956804019914,0.32691943111373284,0.0737577857303841,0.06965993446863578,3000
3,unseen_stronger_drift,0.7,A_no_signal,0.5,0.2816666666666667,0.045666666666666744,0.3161923439085733,3000
3,unseen_stronger_drift,0.7,B_calibrated_confidence,0.6325410837600737,0.36596541282429995,0.1415760854389533,0.20735168870080067,3000
3,unseen_stronger_drift,0.7,C_original_failure_memory,0.47459959637007654,0.270446952716339,,0.2995715306350389,3000
3,unseen_stronger_drift,0.7,D_supervised_failure_risk,0.6262183720259751,0.3797955375154791,0.06987059288351108,0.21046015386010497,3000
4,original_benchmark,0.35,A_no_signal,0.5,0.333,0.10966666666666669,0.3721314159877383,3000
4,original_benchmark,0.35,B_calibrated_confidence,0.6251138694916806,0.41912610940770495,0.15367246825884284,0.2549721283912256,3000
4,original_benchmark,0.35,C_original_failure_memory,0.522601562081822,0.35800792248969326,,0.32711993587466137,3000
4,original_benchmark,0.35,D_supervised_failure_risk,0.6187546867207037,0.4189879162943472,0.12176928291505651,0.2600316897147596,3000
4,unseen_weaker_drift,0.175,A_no_signal,0.5,0.252,0.028666666666666674,0.2668490504872288,3000
4,unseen_weaker_drift,0.175,B_calibrated_confidence,0.6872907412123098,0.3716029817633244,0.0760058015921762,0.1502021077658604,3000
4,unseen_weaker_drift,0.175,C_original_failure_memory,0.5424642079053843,0.2862192350042245,,0.2362756926882314,3000
4,unseen_weaker_drift,0.175,D_supervised_failure_risk,0.6814155796998934,0.36895229009924735,0.0531587724865043,0.15246814369916048,3000
4,unseen_stronger_drift,0.7,A_no_signal,0.5,0.41933333333333334,0.196,0.4752114675784629,3000
4,unseen_stronger_drift,0.7,B_calibrated_confidence,0.5841101451285824,0.47929887257878456,0.23400580159217618,0.36102741016791046,3000
4,unseen_stronger_drift,0.7,C_original_failure_memory,0.4935649501057754,0.418972947750636,,0.42948108393908463,3000
4,unseen_stronger_drift,0.7,D_supervised_failure_risk,0.5794141375791947,0.4807125494240942,0.2027692829150565,0.3646930822226977,3000
5,original_benchmark,0.35,A_no_signal,0.5,0.22433333333333333,0.02233333333333326,0.20269788000971806,3000
5,original_benchmark,0.35,B_calibrated_confidence,0.6627502839909556,0.32065067888489984,0.04570863951955716,0.1443746704897104,3000
5,original_benchmark,0.35,C_original_failure_memory,0.5160008709694516,0.23537833539584924,,0.21894628032333752,3000
5,original_benchmark,0.35,D_supervised_failure_risk,0.6547468154381251,0.31707485319666623,0.022746504733450988,0.14615503044140815,3000
