population,distinct_jobs,failed_jobs,failure_rate,distinct_task_names,distinct_gpu_types,mean_tasks_per_job,median_tasks_per_job,mean_plan_cpu,mean_plan_mem,mean_plan_gpu,temporal_start,temporal_end,global_task_types,global_gpu_types
train,6999,1816,0.2594656379482783,16,5,1.17459637091013,1.0,620.8258700413726,28.17434468829855,66.53392499284283,962704.0,6449460.0,16,5
validation,1498,389,0.2596795727636849,12,5,1.1762349799732976,1.0,624.0176136363636,28.626964222301137,67.23847695390782,999357.0,6439600.0,16,5
random_test,1503,389,0.2588157019294744,15,5,1.1756487025948104,1.0,618.2693831352575,28.035376211445953,66.01529255319149,960837.0,6449352.0,16,5
canonical_temporal,2499,1085,0.4341736694677871,11,5,1.1248499399759904,1.0,472.61032028469754,28.520641264457296,56.330275229357795,5540091.0,6449460.0,16,5
fold_1_test,2000,345,0.1725,14,5,1.1885,1.0,689.7616842105264,27.604969983552632,72.11696202531645,3563831.0,4789055.0,16,5
fold_2_test,2000,635,0.3175,14,5,1.181,1.0,561.8407454468446,27.392138858005083,60.65363681345868,4789772.0,5667324.0,16,5
fold_3_test,2000,757,0.3785,11,5,1.1365,1.0,505.2222711267606,28.555845448668574,59.616724738675956,5668729.0,6449460.0,16,5
